Stage 1 Model,Stage 2 Model,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix,WINNER_S1_Accuracy,WINNER_S1_Precision,WINNER_S1_Recall,WINNER_S1_F1_Score,WINNER_S2_Accuracy,WINNER_S2_Precision,WINNER_S2_Recall,WINNER_S2_F1_Score,WINNER_Combined_Accuracy,WINNER_Combined_Precision,WINNER_Combined_Recall,WINNER_Combined_F1_Score,WINNER_Stage_1_Time_(s),WINNER_Stage_2_Time_(s)
Logistic Regression,Naive Bayes,140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],0.27737,0.1933,0.9904,0.1933,0.3117,[[15168 66178] [ 17 689]],0.9477,0.9364,0.9477,0.9328,[[6096087 7214 45004] [ 234254 7954 21174] [ 29238 17 689]],Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,Local Win,GitHub Win,Local Win,Local Win,GitHub Win,GitHub Win
Logistic Regression,Random Forest (Gini),140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],51.40744,0.9971,0.9978,0.9971,0.9973,[[81109 237] [ 0 706]],0.951,0.9331,0.951,0.9375,[[6096087 51982 236] [ 234254 29127 1] [ 29238 0 706]],Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
Naive Bayes,Decision Tree (Gini),3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],1.43134,0.9882,0.9919,0.9882,0.9893,[[218646 2683] [ 1 5821]],0.9382,0.9324,0.9382,0.9345,[[5982369 163253 2683] [ 207989 55393 0] [ 24122 1 5821]],GitHub Win,Local Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win,GitHub Win,Local Win,GitHub Win,Local Win
Naive Bayes,Gradient Boosting,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],68.96772,0.998,0.9981,0.998,0.998,[[220873 456] [ 1 5821]],0.9382,0.9334,0.9382,0.9346,[[5982369 165480 456] [ 207989 55393 0] [ 24122 1 5821]],GitHub Win,Local Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win,GitHub Win,Local Win,GitHub Win,Local Win
Naive Bayes,KNN (k=5),3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],2.28117,0.9217,0.9807,0.9217,0.9437,[[203545 17784] [ 0 5822]],0.9382,0.9311,0.9382,0.9344,[[5982369 148154 17782] [ 207989 55391 2] [ 24122 0 5822]],GitHub Win,Local Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win,GitHub Win,Local Win,GitHub Win,GitHub Win
Naive Bayes,Logistic Regression,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],3.99651,0.8427,0.9673,0.8427,0.8942,[[187482 33847] [ 1884 3938]],0.9378,0.9311,0.9378,0.9341,[[5982369 132803 33133] [ 207989 54679 714] [ 24122 1884 3938]],GitHub Win,Local Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win,GitHub Win,Local Win,GitHub Win,GitHub Win
Naive Bayes,Naive Bayes,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],0.14984,0.2984,0.9742,0.2984,0.4282,[[ 62032 159297] [ 66 5756]],0.9321,0.9297,0.9321,0.9281,[[5982369 45801 120135] [ 207989 16231 39162] [ 24122 66 5756]],GitHub Win,Local Win,GitHub Win,Local Win,GitHub Win,Local Win,GitHub Win,GitHub Win,GitHub Win,Local Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win
Naive Bayes,Random Forest (Gini),3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],27.60748,0.9986,0.9987,0.9986,0.9986,[[221010 319] [ 0 5822]],0.9382,0.9335,0.9382,0.9346,[[5982369 165617 319] [ 207989 55393 0] [ 24122 0 5822]],GitHub Win,Local Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win,GitHub Win,Local Win,GitHub Win,Local Win
Random Forest (Gini),Decision Tree (Gini),1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],1.41484,1.0,1.0,1.0,1.0,[[263256 3] [ 2 29940]],1.0,1.0,1.0,1.0,[[6148283 22 0] [ 145 263234 3] [ 2 2 29940]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win
Random Forest (Gini),Gradient Boosting,1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],68.04941,0.9999,0.9999,0.9999,0.9999,[[263250 9] [ 6 29936]],1.0,1.0,1.0,1.0,[[6148283 21 1] [ 145 263229 8] [ 2 6 29936]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win
Random Forest (Gini),KNN (k=5),1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],2.11893,0.9999,0.9999,0.9999,0.9999,[[263240 19] [ 5 29937]],1.0,1.0,1.0,1.0,[[6148283 20 2] [ 145 263220 17] [ 2 5 29937]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
Random Forest (Gini),Logistic Regression,1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],3.96318,0.9206,0.913,0.9206,0.9154,[[255387 7872] [ 15421 14521]],0.9964,0.996,0.9964,0.9961,[[6148283 15 7] [ 145 255372 7865] [ 2 15421 14521]],Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win
Random Forest (Gini),Naive Bayes,1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],0.16206,0.345,0.9057,0.345,0.4077,[[ 71671 191588] [ 462 29480]],0.9702,0.9957,0.9702,0.973,[[6148283 1 21] [ 145 71670 191567] [ 2 462 29480]],Local Win,Local Win,Local Win,Local Win,Local Win,Draw,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
Random Forest (Gini),Random Forest (Gini),1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],27.51724,1.0,1.0,1.0,1.0,[[263256 3] [ 0 29942]],1.0,1.0,1.0,1.0,[[6148283 21 1] [ 145 263235 2] [ 2 0 29942]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win
