Comparison,Stage 1 Model,Stage 2 Model,level_2,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix,Test Dataset,level_1,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),Feature Count,Features
Classification Results,KNN (k=5),Gradient Boosting,other,76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],69.89525,0.9971,0.9971,0.9971,0.9971,[[267842 318] [ 542 28437]],0.9957,0.9958,0.9957,0.9957,[[6133048 15205 52] [ 10479 252637 266] [ 965 542 28437]],,,,,,,,
Classification Results,KNN (k=5),KNN (k=5),self,81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],2.21877,0.9946,0.9949,0.9946,0.9947,[[265184 1581] [ 3 29253]],0.9965,0.9966,0.9965,0.9965,[[6135797 10928 1580] [ 9125 254256 1] [ 688 3 29253]],,,,,,,,
Classification Results,KNN (k=5),KNN (k=5),other,76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],2.02534,0.9938,0.9941,0.9938,0.9938,[[266323 1837] [ 20 28959]],0.9958,0.9959,0.9958,0.9959,[[6133048 13434 1823] [ 10479 252889 14] [ 965 20 28959]],,,,,,,,
Classification Results,KNN (k=5),Logistic Regression,self,81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],4.44983,0.9205,0.9134,0.9205,0.9159,[[258328 8437] [ 15085 14171]],0.993,0.9927,0.993,0.9928,[[6135797 11759 749] [ 9125 246569 7688] [ 688 15085 14171]],,,,,,,,
Classification Results,KNN (k=5),Logistic Regression,other,76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],3.21317,0.9278,0.9243,0.9278,0.9258,[[259116 9044] [ 12417 16562]],0.9927,0.9925,0.9927,0.9926,[[6133048 14354 903] [ 10479 244762 8141] [ 965 12417 16562]],,,,,,,,
Classification Results,KNN (k=5),Naive Bayes,self,81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],0.14937,0.3433,0.9083,0.3433,0.4085,[[ 72816 193949] [ 460 28796]],0.968,0.9931,0.968,0.971,[[6135797 2006 10502] [ 9125 70810 183447] [ 688 460 28796]],,,,,,,,
Classification Results,KNN (k=5),Naive Bayes,other,76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],0.13842,0.3387,0.9091,0.3387,0.404,[[ 72121 196039] [ 460 28519]],0.9673,0.9926,0.9673,0.9704,[[6133048 2399 12858] [ 10479 69722 183181] [ 965 460 28519]],,,,,,,,
Classification Results,KNN (k=5),Random Forest (Gini),self,81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],27.34462,,,,,[[266698 67] [ 0 29256]],0.9965,0.9966,0.9965,0.9965,[[6135797 12441 67] [ 9125 254257 0] [ 688 0 29256]],,,,,,,,
Classification Results,KNN (k=5),Random Forest (Gini),other,76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],30.26414,,,,,[[268105 55] [ 0 28979]],0.9959,0.9959,0.9959,0.9959,[[6133048 15203 54] [ 10479 252902 1] [ 965 0 28979]],,,,,,,,
Classification Results,Logistic Regression,Decision Tree (Gini),self,140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],2.50948,0.9939,0.9964,0.9939,0.9947,[[80846 500] [ 0 706]],0.951,0.9324,0.951,0.9375,[[6096087 51718 500] [ 234254 29128 0] [ 29238 0 706]],,,,,,,,
